,hum_ratio,temp,wind_dir,solar_radiation,windspeed,weekday,week
2050-01-08 00:00:00,0.003584234276376462,1.7,170,0,1.5,1.0,1
2050-01-08 01:00:00,0.0034683938783192786,0.6,120,0,2.1,1.0,1
2050-01-08 02:00:00,0.0034704609788989154,0.6,140,0,2.1,1.0,1
2050-01-08 03:00:00,0.0035878861452844518,1.7,140,0,2.1,1.0,1
2050-01-08 04:00:00,0.003764369079946622,2.2,160,0,2.6,1.0,1
2050-01-08 05:00:00,0.003765586152527809,2.2,250,0,2.1,1.0,1
2050-01-08 06:00:00,0.003765773464318282,2.2,160,0,3.1,1.0,1
2050-01-08 07:00:00,0.0037669914453295566,2.2,140,0,3.1,1.0,1
2050-01-08 08:00:00,0.003768866801488321,2.2,140,16,3.1,1.0,1
2050-01-08 09:00:00,0.0037712136241446433,2.2,130,76,3.1,1.0,1
2050-01-08 10:00:00,0.0037718712583221722,2.2,120,76,2.6,1.0,1
2050-01-08 11:00:00,0.003949863073342951,2.2,120,65,5.2,1.0,1
2050-01-08 12:00:00,0.003950748966291171,2.2,120,54,3.6,1.0,1
2050-01-08 13:00:00,0.003951930775226695,2.2,140,78,4.1,1.0,1
2050-01-08 14:00:00,0.003755278474187325,2.8,120,71,4.1,1.0,1
2050-01-08 15:00:00,0.003756308982601968,2.8,140,59,4.1,1.0,1
2050-01-08 16:00:00,0.0037580902844552267,2.8,130,7,3.6,1.0,1
2050-01-08 17:00:00,0.003942897791663893,3.3,140,0,2.6,1.0,1
2050-01-08 18:00:00,0.0037650045347319334,3.9,170,0,2.1,1.0,1
2050-01-08 19:00:00,0.003968085228907586,3.9,130,0,2.6,1.0,1
2050-01-08 20:00:00,0.004269925653747373,4.4,120,0,2.6,1.0,1
2050-01-08 21:00:00,0.004275275169600928,4.4,260,0,2.1,1.0,1
2050-01-08 22:00:00,0.0046427970155596444,4.4,60,0,2.1,1.0,1
2050-01-08 23:00:00,0.00465699579379181,5.6,120,0,2.6,1.0,1
2050-01-09 00:00:00,0.004658048241124261,5.6,200,0,1.5,1.0,1
2050-01-09 01:00:00,0.004468469432454053,5.0,120,0,4.1,1.0,1
2050-01-09 02:00:00,0.004086011660325468,3.9,240,0,2.1,1.0,1
2050-01-09 03:00:00,0.004288061092664268,4.4,150,0,3.6,1.0,1
2050-01-09 04:00:00,0.004312353326482605,5.0,140,0,4.1,1.0,1
2050-01-09 05:00:00,0.003977899487719765,4.4,140,0,7.2,1.0,1
2050-01-09 06:00:00,0.003992239491413046,3.9,140,0,6.7,1.0,1
2050-01-09 07:00:00,0.0041029749745106914,5.6,230,0,7.7,1.0,1
2050-01-09 08:00:00,0.004455466861730829,4.4,240,14,10.8,1.0,1
2050-01-09 09:00:00,0.004301248987248784,4.4,210,21,8.8,1.0,1
2050-01-09 10:00:00,0.004102389496696825,3.9,200,63,7.2,1.0,1
2050-01-09 11:00:00,0.004103217008648834,3.9,190,85,8.8,1.0,1
2050-01-09 12:00:00,0.003982270730096435,3.3,200,149,7.7,1.0,1
2050-01-09 13:00:00,0.003816461406871374,2.2,240,161,9.3,1.0,1
2050-01-09 14:00:00,0.003983845417353407,2.8,220,63,11.3,1.0,1
2050-01-09 15:00:00,0.003816461406871374,2.2,180,25,5.7,1.0,1
2050-01-09 16:00:00,0.0038138658031550057,2.2,190,7,6.7,1.0,1
2050-01-09 17:00:00,0.003631645422032845,2.2,190,0,8.2,1.0,1
2050-01-09 18:00:00,0.003788919007190059,2.8,190,0,7.7,1.0,1
2050-01-09 19:00:00,0.003518504276399653,1.1,220,0,5.7,1.0,1
2050-01-09 20:00:00,0.003972926965794965,2.8,250,0,5.2,1.0,1
2050-01-09 21:00:00,0.003972553809691081,3.3,200,0,7.2,1.0,1
2050-01-09 22:00:00,0.0037846334523203126,2.8,200,0,8.2,1.0,1
2050-01-09 23:00:00,0.003967838858303575,2.8,190,0,7.2,1.0,1
2050-01-10 00:00:00,0.0037789344369027083,2.8,190,0,6.7,0.0,2
2050-01-10 01:00:00,0.003963360162420064,2.8,190,0,8.2,0.0,2
2050-01-10 02:00:00,0.003776849095953238,2.8,190,0,8.2,0.0,2
2050-01-10 03:00:00,0.0037748606890743446,2.8,180,0,10.3,0.0,2
2050-01-10 04:00:00,0.0037741037513483715,2.8,210,0,6.7,0.0,2
2050-01-10 05:00:00,0.003773347117124913,2.8,210,0,10.3,0.0,2
2050-01-10 06:00:00,0.0037710790336453275,2.8,200,0,9.3,0.0,2
2050-01-10 07:00:00,0.003768625018098326,2.8,200,0,8.8,0.0,2
2050-01-10 08:00:00,0.003766456819016112,2.8,200,22,9.8,0.0,2
2050-01-10 09:00:00,0.003950873433145776,2.8,200,68,11.3,0.0,2
2050-01-10 10:00:00,0.0039488986446271366,2.8,190,118,10.3,0.0,2
2050-01-10 11:00:00,0.003946925829262778,2.8,210,150,11.8,0.0,2
2050-01-10 12:00:00,0.003944276483633669,3.3,200,145,9.8,0.0,2
2050-01-10 13:00:00,0.004085823993125159,3.3,230,144,10.8,0.0,2
2050-01-10 14:00:00,0.004060523146643773,3.9,240,74,8.8,0.0,2
2050-01-10 15:00:00,0.004058092968365427,3.9,220,45,9.3,0.0,2
2050-01-10 16:00:00,0.004251837013072819,4.4,220,11,10.8,0.0,2
2050-01-10 17:00:00,0.004091897401319053,4.4,210,0,8.2,0.0,2
2050-01-10 18:00:00,0.00408864053079595,4.4,220,0,8.2,0.0,2
2050-01-10 19:00:00,0.004242322580448345,4.4,230,0,7.7,0.0,2
2050-01-10 20:00:00,0.004423807115274839,5.0,230,0,7.7,0.0,2
2050-01-10 21:00:00,0.004423147274639543,5.0,220,0,7.7,0.0,2
2050-01-10 22:00:00,0.004387419611657649,5.6,220,0,8.2,0.0,2
2050-01-10 23:00:00,0.004599977758603344,6.1,220,0,9.3,0.0,2
2050-01-11 00:00:00,0.00421510930647813,5.6,230,0,9.3,0.0,2
2050-01-11 01:00:00,0.003932498622642701,5.0,230,0,8.8,0.0,2
2050-01-11 02:00:00,0.004233900983326768,4.4,210,0,5.2,0.0,2
2050-01-11 03:00:00,0.004079103386669161,4.4,200,0,5.7,0.0,2
2050-01-11 04:00:00,0.004079812065990781,4.4,200,0,5.7,0.0,2
2050-01-11 05:00:00,0.003925077328077189,4.4,190,0,5.7,0.0,2
2050-01-11 06:00:00,0.003939131160141508,3.9,190,0,5.7,0.0,2
2050-01-11 07:00:00,0.003939326699089655,3.9,190,0,5.2,0.0,2
2050-01-11 08:00:00,0.003939913432430372,3.9,220,26,5.7,0.0,2
2050-01-11 09:00:00,0.003920969071020157,3.3,200,81,4.1,0.0,2
2050-01-11 10:00:00,0.003921650650803983,3.3,190,200,4.6,0.0,2
2050-01-11 11:00:00,0.003923306902925768,3.3,200,246,5.2,0.0,2
2050-01-11 12:00:00,0.003926330731705928,3.3,200,207,3.1,0.0,2
2050-01-11 13:00:00,0.0039311161807652345,2.8,220,202,5.2,0.0,2
2050-01-11 14:00:00,0.0035934226404240074,1.7,200,168,4.6,0.0,2
2050-01-11 15:00:00,0.0035955358611635306,2.2,200,88,3.6,0.0,2
2050-01-11 16:00:00,0.0037575275855917622,2.8,210,10,2.6,0.0,2
2050-01-11 17:00:00,0.003753091338704776,3.3,160,0,2.6,0.0,2
2050-01-11 18:00:00,0.0037996587837699426,4.4,150,0,0.0,0.0,2
2050-01-11 19:00:00,0.0037983360551453707,5.6,140,0,2.6,0.0,2
2050-01-11 20:00:00,0.003645092315516558,6.1,140,0,2.6,0.0,2
2050-01-11 21:00:00,0.0038015947219759757,6.7,360,0,2.1,0.0,2
2050-01-11 22:00:00,0.003984842100455232,6.7,10,0,2.6,0.0,2
2050-01-11 23:00:00,0.0039816417926612,6.7,360,0,3.6,0.0,2
2050-01-12 00:00:00,0.003931254687515019,6.1,340,0,2.6,0.0,2
2050-01-12 01:00:00,0.0037652867831288435,3.9,310,0,2.6,0.0,2
2050-01-12 02:00:00,0.0039563669858783965,5.0,200,0,3.6,0.0,2
2050-01-12 03:00:00,0.004099142143131728,4.4,50,0,3.6,0.0,2
2050-01-12 04:00:00,0.0034614197513943065,5.0,60,0,3.6,0.0,2
2050-01-12 05:00:00,0.003324309847611385,5.6,90,0,4.6,0.0,2
2050-01-12 06:00:00,0.0031825084049235744,5.0,70,0,3.6,0.0,2
2050-01-12 07:00:00,0.003286060492893216,5.0,50,0,2.6,0.0,2
2050-01-12 08:00:00,0.0030324679313215447,5.6,100,32,4.6,0.0,2
2050-01-12 09:00:00,0.0030288974459439996,6.7,110,97,6.7,0.0,2
2050-01-12 10:00:00,0.003018527091316239,6.1,120,165,5.7,0.0,2
2050-01-12 11:00:00,0.002899411432992845,6.1,140,215,5.2,0.0,2
2050-01-12 12:00:00,0.003013224154694454,6.1,140,251,5.2,0.0,2
2050-01-12 13:00:00,0.003011584770351544,6.1,110,182,6.2,0.0,2
2050-01-12 14:00:00,0.002894752359839874,6.1,140,200,4.6,0.0,2
2050-01-12 15:00:00,0.00290623069780729,5.6,100,89,6.2,0.0,2
2050-01-12 16:00:00,0.0028924552262976173,5.0,140,14,2.6,0.0,2
2050-01-12 17:00:00,0.0030268899160995665,4.4,120,0,2.6,0.0,2
2050-01-12 18:00:00,0.004182791928689193,5.6,200,0,3.1,0.0,2
2050-01-12 19:00:00,0.003902111369329432,5.6,120,0,3.6,0.0,2
2050-01-12 20:00:00,0.003550661389347084,7.2,140,0,5.7,0.0,2
2050-01-12 21:00:00,0.003569447408082864,8.9,150,0,4.6,0.0,2
2050-01-12 22:00:00,0.0034282843472898824,8.9,200,0,3.1,0.0,2
2050-01-12 23:00:00,0.003914368881094333,8.9,230,0,1.0,0.0,2
2050-01-13 00:00:00,0.00342008858811344,8.3,130,0,4.1,0.0,2
